CREDIT_LIMIT,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,default_payment_next_month,avg_bill_amt,avg_pay_amt
130000,2,2,1,28,0,0,0,0,0,0,0,110864.16666666667,4783.333333333333
270000,2,2,1,27,0,0,0,2,0,0,0,21226,4666.666666666667
230000,1,2,2,28,0,0,2,2,0,0,0,16265.5,2708.1666666666665
150000,1,1,1,51,0,0,0,0,0,0,0,110193.5,9392.833333333334
310000,2,1,1,35,-1,-1,-1,-1,-1,-1,0,7456,7175.833333333333
120000,1,2,2,27,0,0,0,0,0,0,0,24394.5,1073.3333333333333
200000,2,1,2,39,-2,-2,-2,-2,-1,-1,1,388.3333333333333,388.3333333333333
140000,2,2,1,46,0,0,0,0,0,0,0,80250.16666666667,2978.6666666666665
30000,1,2,2,36,0,0,0,0,0,0,1,33288.666666666664,2178.5
50000,1,2,1,40,0,0,0,0,0,0,0,37610,1216
100000,1,3,1,37,0,0,0,0,0,-1,0,25500.5,11432
250000,1,1,2,33,-1,3,2,-1,-1,-1,1,1878.5,1848
50000,1,2,2,28,0,0,0,0,0,0,0,43990.666666666664,4540.666666666667
340000,2,2,1,37,1,-1,-1,-1,0,-1,0,1064.5,1457.8333333333333
310000,2,2,2,26,0,0,0,0,0,0,0,44640.833333333336,2000
320000,2,2,2,31,-2,-2,-2,-2,-2,-2,0,3240.1666666666665,2639.8333333333335
60000,2,2,1,36,0,0,0,0,0,0,0,44969,1700
200000,1,2,1,31,7,6,5,4,3,2,1,224997.33333333334,571.3333333333334
200000,2,2,2,29,-1,0,0,0,0,0,0,6997,2083.3333333333335
90000,1,2,1,36,0,0,0,-2,-2,-2,0,15313.166666666666,350
420000,2,1,1,32,-1,-1,-2,-2,-2,-2,0,1541.5,63
250000,2,1,1,53,0,0,0,0,0,0,0,220277.5,10868.833333333334
20000,2,2,1,41,0,0,0,0,0,-1,0,6902.333333333333,1003.1666666666666
120000,2,2,2,48,0,0,0,0,0,2,0,77472.83333333333,2942.3333333333335
80000,1,2,2,38,0,0,0,0,0,0,0,57526.833333333336,4927.666666666667
500000,2,1,1,36,-1,-1,-1,0,0,0,0,42309,32667.666666666668
360000,1,1,2,29,-2,-2,-2,-2,-2,-2,1,0,0
30000,2,2,2,23,1,2,0,0,0,0,1,33256.833333333336,1660.8333333333333
150000,2,2,2,29,0,0,0,0,0,0,0,81137.16666666667,5000
50000,2,3,1,34,-1,-1,-1,-1,0,0,0,6005,2297.1666666666665
50000,1,3,1,48,0,0,0,0,-1,-1,0,12042,1087
130000,2,3,1,43,0,0,0,0,0,0,0,35185.5,1675
130000,2,1,1,35,-1,-1,-1,-1,-1,-1,1,1218.5,160.5
90000,1,3,1,55,0,0,0,0,0,0,0,33555.5,1860.6666666666667
160000,1,2,2,29,0,0,0,0,0,0,0,115469.66666666667,4300.5
50000,1,1,2,32,1,2,2,2,2,2,1,47501.333333333336,1815.3333333333333
90000,2,2,2,28,2,2,0,0,0,2,1,66879.66666666667,2101.3333333333335
450000,1,1,2,28,-1,0,0,0,-1,-1,0,11928.333333333334,4937.666666666667
10000,1,2,1,29,0,0,0,0,0,0,1,8522.333333333334,1700
60000,1,2,2,29,0,0,0,0,0,0,0,34685.666666666664,2442.1666666666665
20000,1,3,2,28,1,2,2,2,0,0,0,18357.333333333332,725.3333333333334
330000,2,2,1,45,0,0,0,0,0,0,0,44864.5,1689.1666666666667
230000,2,1,1,35,-1,-1,-1,-1,-1,-1,0,13150,13038.166666666666
380000,2,2,1,44,-1,-1,-2,-1,0,-1,0,8808.5,7498.5
360000,2,1,1,45,1,-2,-2,-2,-2,-2,0,0,0
200000,2,1,2,34,-1,-1,-1,-1,0,0,0,9681,8383.333333333334
50000,1,1,1,41,2,0,0,0,0,0,1,41767.666666666664,1733.6666666666667
100000,2,3,1,39,-2,-1,-1,-1,-1,-2,0,2383.3333333333335,1360.8333333333333
80000,2,2,2,36,0,0,0,0,0,0,0,44639.5,7844.833333333333
200000,2,2,2,27,-2,-2,-2,-2,-2,-2,0,264,220
200000,1,1,3,43,-1,-1,-1,-1,-1,0,0,3388,2027.3333333333333
50000,1,3,2,53,0,0,0,0,0,0,0,35610.333333333336,1269
360000,2,2,2,31,-1,0,0,0,0,-1,0,17941.5,13128.333333333334
10000,1,2,1,29,2,0,0,2,2,2,0,5711.833333333333,1283.3333333333333
360000,2,2,2,27,0,-1,-1,-1,-1,0,0,4868.5,3002.5
230000,1,2,1,37,0,0,0,0,0,0,0,26925.5,2833.3333333333335
70000,2,1,2,24,0,0,0,0,0,0,0,68163,2591.6666666666665
200000,1,2,1,41,1,2,2,2,2,-1,0,2610.3333333333335,744.8333333333334
60000,2,3,2,41,0,0,0,0,0,0,0,49692.666666666664,2735.3333333333335
100000,1,2,2,36,0,0,0,0,-2,-2,0,1831.5,866.6666666666666
280000,1,3,1,32,0,0,0,0,0,0,1,168984.5,5798.666666666667
10000,1,3,2,29,0,0,0,0,0,0,0,6545,1333.3333333333333
200000,2,1,1,59,0,0,0,0,0,0,0,96915.33333333333,4073
80000,1,3,1,34,1,2,2,2,2,2,1,74183.16666666667,2539.5
160000,2,2,1,33,-1,-1,-1,-1,-1,-1,0,2821.3333333333335,3950.3333333333335
130000,2,1,1,33,-1,-1,-1,-1,-1,-1,0,30971.333333333332,30776.5
50000,1,2,1,32,0,0,0,0,0,0,0,27716.833333333332,1026
50000,1,2,1,36,2,2,2,2,0,0,1,34430,914.3333333333334
300000,2,1,2,25,1,-2,-1,0,0,0,0,3502.5,1861.3333333333333
360000,1,1,2,33,0,0,0,0,0,0,0,275125.1666666667,40640
350000,2,1,2,33,-1,-1,-1,-1,0,-1,0,18075.333333333332,34878.5
410000,1,2,1,46,-1,-1,-1,-1,-1,-1,0,5786.333333333333,6114.333333333333
380000,2,1,2,44,0,0,0,0,0,0,0,331736.5,12428.5
30000,2,2,2,29,-2,-2,-2,-2,-2,-2,0,1455.3333333333333,1560.5
50000,1,3,1,54,0,0,0,3,2,2,1,37659,1572.5
50000,2,2,2,38,0,0,0,0,0,2,0,22610.5,3823.3333333333335
170000,2,2,1,50,-1,-1,-1,-1,-1,-1,0,23619.5,10417.833333333334
180000,1,1,2,31,-1,-1,-1,-1,-1,-1,0,6723.5,6717.833333333333
500000,2,2,2,31,-2,-2,-2,-2,-2,-2,0,278.3333333333333,3345.5
40000,2,2,2,27,0,0,0,0,0,0,0,35177.666666666664,2891.5
20000,2,2,1,39,1,2,2,0,0,0,0,19115.333333333332,933.3333333333334
270000,2,2,1,28,0,0,0,0,0,0,0,229879.66666666666,8166.666666666667
200000,2,2,1,29,1,2,0,0,0,2,0,50903,1911.8333333333333
20000,1,1,2,29,3,2,2,2,0,0,1,17693.833333333332,1000
180000,1,1,2,40,0,0,0,0,0,0,0,88460.33333333333,3993.6666666666665
500000,2,2,2,41,-1,-1,-1,-1,0,-1,0,18846,10696.5
220000,2,2,1,34,0,0,0,0,0,0,0,184035,7458.5
330000,1,2,1,42,-1,-1,-1,-1,-1,-1,0,435,362.5
50000,1,2,1,49,1,2,2,0,0,0,1,40002.666666666664,1283.3333333333333
80000,2,2,2,28,-2,-2,-2,-2,-2,-2,0,553,553
120000,2,1,2,26,0,0,0,0,0,0,0,83767.66666666667,3206.1666666666665
240000,2,1,2,27,-2,-2,-2,-2,-2,-2,0,5856.166666666667,5468.166666666667
470000,2,2,1,36,-1,0,0,-1,-1,-1,0,1176.1666666666667,1015.3333333333334
230000,2,3,2,30,0,0,0,0,0,0,1,5736,1833.3333333333333
20000,2,2,2,24,3,2,3,2,3,2,1,19658.666666666668,950
210000,1,2,1,31,-1,-1,2,-1,-1,-1,0,1417.3333333333333,1126
180000,2,2,1,31,1,-1,2,-1,0,0,0,216.5,166.5
20000,1,3,1,40,3,2,2,2,2,2,1,300,0
20000,1,2,1,31,-1,-1,-1,-1,-1,-1,0,1266.1666666666667,1004.8333333333334
150000,1,2,1,36,2,2,2,2,2,2,1,39262,1038
260000,1,1,2,29,0,0,0,0,0,0,0,101965.5,10583.333333333334
360000,2,2,2,32,0,0,0,0,0,0,0,12646.666666666666,3916.6666666666665
160000,2,1,2,32,-2,-2,-2,-2,-2,-2,0,5447,5155.833333333333
260000,2,1,2,31,0,0,0,0,0,0,0,187624.83333333334,7283.333333333333
30000,1,2,2,24,1,2,2,2,2,2,1,23200,1166.8333333333333
210000,1,2,3,27,0,0,0,0,0,0,0,84376.33333333333,3483.8333333333335
80000,2,3,2,23,0,0,2,2,2,2,0,64084.666666666664,2674.5
130000,2,5,2,27,0,0,0,0,0,0,0,113042.33333333333,7460.333333333333
10000,1,1,1,48,1,2,0,0,0,0,0,7026.666666666667,666.6666666666666
50000,2,1,2,29,0,0,0,0,0,0,0,20600.833333333332,3000
500000,2,3,1,53,-1,-1,-1,-1,-1,-1,0,1464.3333333333333,1394.8333333333333
360000,1,1,2,35,-2,-2,-2,-2,-2,-2,1,884.1666666666666,639
290000,1,1,2,41,0,0,0,0,0,0,0,249522.66666666666,9377.666666666666
150000,2,2,1,34,0,0,0,0,0,0,0,147568.66666666666,6106.666666666667
70000,1,1,2,26,0,0,0,0,0,0,1,7987.333333333333,733.3333333333334
80000,1,1,2,28,1,-1,-1,-1,-2,-2,0,42.333333333333336,42.333333333333336
10000,1,2,1,23,1,3,2,2,2,0,0,8357.666666666666,333.3333333333333
100000,1,2,2,26,0,0,0,0,0,0,0,54524.333333333336,2483.3333333333335
130000,2,1,2,28,-2,-2,-2,-2,-1,-1,1,3262.1666666666665,1808.5
140000,1,1,2,27,-1,-1,-1,-1,-1,-1,0,642.8333333333334,710
250000,1,1,2,29,-1,-1,-1,-1,-1,0,0,4587.5,2699.5
190000,2,1,1,43,-2,-2,-2,-2,-2,-2,0,30921.833333333332,31735.666666666668
120000,1,1,2,38,0,0,0,0,0,-1,0,23162.5,4287.5
130000,1,2,2,38,1,-2,-2,-2,-1,-1,0,7569.333333333333,7961
500000,1,1,2,39,-1,-1,-1,-1,0,-1,0,8545.166666666666,8489.666666666666
260000,2,2,1,46,-2,-2,-2,-2,-2,-2,0,198.16666666666666,1748.1666666666667
150000,1,2,1,40,0,0,0,0,0,-2,0,31975.333333333332,1116.6666666666667
240000,2,2,2,29,0,0,0,0,0,0,0,42288.666666666664,4433.666666666667
400000,2,2,2,42,-1,-1,-1,-1,0,0,0,32621.833333333332,16045.666666666666
20000,1,3,2,26,3,2,2,2,2,-1,1,316.6666666666667,191.66666666666666
170000,1,1,1,40,0,0,0,0,2,0,0,115136.66666666667,4703.833333333333
360000,1,1,1,47,-1,-1,-1,0,-1,-1,0,60421.5,33375
50000,1,2,1,31,1,2,0,0,0,0,0,50799.833333333336,1616.6666666666667
150000,2,6,2,40,0,0,0,0,0,-2,1,104671.5,27955.666666666668
290000,2,3,2,29,0,0,0,0,0,0,0,283097.5,10500
210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,922.6666666666666,924.1666666666666
50000,1,2,1,25,0,0,0,0,0,0,0,46347.5,1780.8333333333333
10000,2,2,1,37,-1,4,3,2,2,2,0,2664.6666666666665,156
500000,2,1,2,27,0,0,-1,-1,-2,-1,0,-92.5,2085.6666666666665
200000,2,1,2,31,-1,-1,-1,-1,0,0,0,3199.8333333333335,1648.6666666666667
