CREDIT_LIMIT,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,default_payment_next_month,AVG_BILL_AMT,AVG_PAY_AMT
130000,2,2,1,28,0,0,0,0,0,0,0,110864.166666667,4783.33333333333
270000,2,2,1,27,0,0,0,2,0,0,0,21226,4666.66666666667
230000,1,2,2,28,0,0,2,2,0,0,0,16265.5,2708.16666666667
150000,1,1,1,51,0,0,0,0,0,0,0,110193.5,9392.83333333333
310000,2,1,1,35,-1,-1,-1,-1,-1,-1,0,7456,7175.83333333333
120000,1,2,2,27,0,0,0,0,0,0,0,24394.5,1073.33333333333
200000,2,1,2,39,-2,-2,-2,-2,-1,-1,1,388.333333333333,388.333333333333
140000,2,2,1,46,0,0,0,0,0,0,0,80250.1666666667,2978.66666666667
30000,1,2,2,36,0,0,0,0,0,0,1,33288.6666666667,2178.5
50000,1,2,1,40,0,0,0,0,0,0,0,37610,1216
100000,1,3,1,37,0,0,0,0,0,-1,0,25500.5,11432
250000,1,1,2,33,-1,3,2,-1,-1,-1,1,1878.5,1848
50000,1,2,2,28,0,0,0,0,0,0,0,43990.6666666667,4540.66666666667
340000,2,2,1,37,1,-1,-1,-1,0,-1,0,1064.5,1457.83333333333
310000,2,2,2,26,0,0,0,0,0,0,0,44640.8333333333,2000
320000,2,2,2,31,-2,-2,-2,-2,-2,-2,0,3240.16666666667,2639.83333333333
60000,2,2,1,36,0,0,0,0,0,0,0,44969,1700
200000,1,2,1,31,7,6,5,4,3,2,1,224997.333333333,571.333333333333
200000,2,2,2,29,-1,0,0,0,0,0,0,6997,2083.33333333333
90000,1,2,1,36,0,0,0,-2,-2,-2,0,15313.1666666667,350
420000,2,1,1,32,-1,-1,-2,-2,-2,-2,0,1541.5,63
250000,2,1,1,53,0,0,0,0,0,0,0,220277.5,10868.8333333333
20000,2,2,1,41,0,0,0,0,0,-1,0,6902.33333333333,1003.16666666667
120000,2,2,2,48,0,0,0,0,0,2,0,77472.8333333333,2942.33333333333
80000,1,2,2,38,0,0,0,0,0,0,0,57526.8333333333,4927.66666666667
500000,2,1,1,36,-1,-1,-1,0,0,0,0,42309,32667.6666666667
360000,1,1,2,29,-2,-2,-2,-2,-2,-2,1,0,0
30000,2,2,2,23,1,2,0,0,0,0,1,33256.8333333333,1660.83333333333
150000,2,2,2,29,0,0,0,0,0,0,0,81137.1666666667,5000
50000,2,3,1,34,-1,-1,-1,-1,0,0,0,6005,2297.16666666667
50000,1,3,1,48,0,0,0,0,-1,-1,0,12042,1087
130000,2,3,1,43,0,0,0,0,0,0,0,35185.5,1675
130000,2,1,1,35,-1,-1,-1,-1,-1,-1,1,1218.5,160.5
90000,1,3,1,55,0,0,0,0,0,0,0,33555.5,1860.66666666667
160000,1,2,2,29,0,0,0,0,0,0,0,115469.666666667,4300.5
50000,1,1,2,32,1,2,2,2,2,2,1,47501.3333333333,1815.33333333333
90000,2,2,2,28,2,2,0,0,0,2,1,66879.6666666667,2101.33333333333
450000,1,1,2,28,-1,0,0,0,-1,-1,0,11928.3333333333,4937.66666666667
10000,1,2,1,29,0,0,0,0,0,0,1,8522.33333333333,1700
60000,1,2,2,29,0,0,0,0,0,0,0,34685.6666666667,2442.16666666667
20000,1,3,2,28,1,2,2,2,0,0,0,18357.3333333333,725.333333333333
330000,2,2,1,45,0,0,0,0,0,0,0,44864.5,1689.16666666667
230000,2,1,1,35,-1,-1,-1,-1,-1,-1,0,13150,13038.1666666667
380000,2,2,1,44,-1,-1,-2,-1,0,-1,0,8808.5,7498.5
360000,2,1,1,45,1,-2,-2,-2,-2,-2,0,0,0
200000,2,1,2,34,-1,-1,-1,-1,0,0,0,9681,8383.33333333333
50000,1,1,1,41,2,0,0,0,0,0,1,41767.6666666667,1733.66666666667
100000,2,3,1,39,-2,-1,-1,-1,-1,-2,0,2383.33333333333,1360.83333333333
80000,2,2,2,36,0,0,0,0,0,0,0,44639.5,7844.83333333333
200000,2,2,2,27,-2,-2,-2,-2,-2,-2,0,264,220
200000,1,1,3,43,-1,-1,-1,-1,-1,0,0,3388,2027.33333333333
50000,1,3,2,53,0,0,0,0,0,0,0,35610.3333333333,1269
360000,2,2,2,31,-1,0,0,0,0,-1,0,17941.5,13128.3333333333
10000,1,2,1,29,2,0,0,2,2,2,0,5711.83333333333,1283.33333333333
360000,2,2,2,27,0,-1,-1,-1,-1,0,0,4868.5,3002.5
230000,1,2,1,37,0,0,0,0,0,0,0,26925.5,2833.33333333333
70000,2,1,2,24,0,0,0,0,0,0,0,68163,2591.66666666667
200000,1,2,1,41,1,2,2,2,2,-1,0,2610.33333333333,744.833333333333
60000,2,3,2,41,0,0,0,0,0,0,0,49692.6666666667,2735.33333333333
100000,1,2,2,36,0,0,0,0,-2,-2,0,1831.5,866.666666666667
280000,1,3,1,32,0,0,0,0,0,0,1,168984.5,5798.66666666667
10000,1,3,2,29,0,0,0,0,0,0,0,6545,1333.33333333333
200000,2,1,1,59,0,0,0,0,0,0,0,96915.3333333333,4073
80000,1,3,1,34,1,2,2,2,2,2,1,74183.1666666667,2539.5
160000,2,2,1,33,-1,-1,-1,-1,-1,-1,0,2821.33333333333,3950.33333333333
130000,2,1,1,33,-1,-1,-1,-1,-1,-1,0,30971.3333333333,30776.5
50000,1,2,1,32,0,0,0,0,0,0,0,27716.8333333333,1026
50000,1,2,1,36,2,2,2,2,0,0,1,34430,914.333333333333
300000,2,1,2,25,1,-2,-1,0,0,0,0,3502.5,1861.33333333333
360000,1,1,2,33,0,0,0,0,0,0,0,275125.166666667,40640
350000,2,1,2,33,-1,-1,-1,-1,0,-1,0,18075.3333333333,34878.5
410000,1,2,1,46,-1,-1,-1,-1,-1,-1,0,5786.33333333333,6114.33333333333
380000,2,1,2,44,0,0,0,0,0,0,0,331736.5,12428.5
30000,2,2,2,29,-2,-2,-2,-2,-2,-2,0,1455.33333333333,1560.5
50000,1,3,1,54,0,0,0,3,2,2,1,37659,1572.5
50000,2,2,2,38,0,0,0,0,0,2,0,22610.5,3823.33333333333
170000,2,2,1,50,-1,-1,-1,-1,-1,-1,0,23619.5,10417.8333333333
180000,1,1,2,31,-1,-1,-1,-1,-1,-1,0,6723.5,6717.83333333333
500000,2,2,2,31,-2,-2,-2,-2,-2,-2,0,278.333333333333,3345.5
40000,2,2,2,27,0,0,0,0,0,0,0,35177.6666666667,2891.5
20000,2,2,1,39,1,2,2,0,0,0,0,19115.3333333333,933.333333333333
270000,2,2,1,28,0,0,0,0,0,0,0,229879.666666667,8166.66666666667
200000,2,2,1,29,1,2,0,0,0,2,0,50903,1911.83333333333
20000,1,1,2,29,3,2,2,2,0,0,1,17693.8333333333,1000
180000,1,1,2,40,0,0,0,0,0,0,0,88460.3333333333,3993.66666666667
500000,2,2,2,41,-1,-1,-1,-1,0,-1,0,18846,10696.5
220000,2,2,1,34,0,0,0,0,0,0,0,184035,7458.5
330000,1,2,1,42,-1,-1,-1,-1,-1,-1,0,435,362.5
50000,1,2,1,49,1,2,2,0,0,0,1,40002.6666666667,1283.33333333333
80000,2,2,2,28,-2,-2,-2,-2,-2,-2,0,553,553
120000,2,1,2,26,0,0,0,0,0,0,0,83767.6666666667,3206.16666666667
240000,2,1,2,27,-2,-2,-2,-2,-2,-2,0,5856.16666666667,5468.16666666667
470000,2,2,1,36,-1,0,0,-1,-1,-1,0,1176.16666666667,1015.33333333333
230000,2,3,2,30,0,0,0,0,0,0,1,5736,1833.33333333333
20000,2,2,2,24,3,2,3,2,3,2,1,19658.6666666667,950
210000,1,2,1,31,-1,-1,2,-1,-1,-1,0,1417.33333333333,1126
180000,2,2,1,31,1,-1,2,-1,0,0,0,216.5,166.5
20000,1,3,1,40,3,2,2,2,2,2,1,300,0
20000,1,2,1,31,-1,-1,-1,-1,-1,-1,0,1266.16666666667,1004.83333333333
150000,1,2,1,36,2,2,2,2,2,2,1,39262,1038
